Stars,Title_of_Review,Base_Review,,,
4.0 out of 5 stars,good fun but not cheap,This game is really fun but a little expensive.,,,
5.0 out of 5 stars,Brain exercise,"I love a challenge. This match three combines chess-like strategy with an interesting peek at ancient Egypt. As your levels increase, eventhough the boards look the same, the puzzles become more difficult. I love the artwork. For me, that's a bonus.",,,
5.0 out of 5 stars,A plus,Great game,,,
4.0 out of 5 stars,CJ,I love this game in joy the strategy,,,
5.0 out of 5 stars,:-),Great match 3 with resource gathering and upgradable buildings.,,,
3.0 out of 5 stars,Fun but slow,This is fun but you don't seem to make any progress,,,
4.0 out of 5 stars,Great game but requires patience!,"Love this game. Some levels can be frustrating, but that's why I love it. Not something you can complete in a week or two.",,,
4.0 out of 5 stars,Engrossing game,Just on level 7. Seems like a good game if it doesn't start requiring purchases later.,,,
4.0 out of 5 stars,Good game but costs 2 much,As fast as you use gems you should not make so much from regular customers.,,,
5.0 out of 5 stars,Fun,Better than it was the first time I played it,,,
4.0 out of 5 stars,good game,I really like match games and this one adds another dimension.,,,
1.0 out of 5 stars,Frustrating puzzle.,At first was a delight.  Puzzle play was ok  but after level 8 was attained puzzle play is very frustrating  might get your item after playing puzzle 20 times  doesn't even date want stars for puzzle play.,,,
5.0 out of 5 stars,definitely addictive,"I have literally played this game for hours on end, and enjoyed every minute.",,,
4.0 out of 5 stars,Very interesting game,Having a good time playing this game. Just getting into some interesting twist to the game. Hope it doesn't get to hard to play as it might get borring to keep losing.,,,
1.0 out of 5 stars,Didn't care for it at all. Game play was ...,"Didn't care for it at all.  Game play was slow, and there were too many hints.  Deleted the game after a few minutes.",,,
4.0 out of 5 stars,Great pass-time,"This is a great game. Takes awhile to complete levels, but fun all the same",,,
5.0 out of 5 stars,Love this game!,Love this and you can play without buying anything additional!,,,
5.0 out of 5 stars,"match 3, plus management","The graphics in this game are beautiful, and the background premise is fun. The announcer is a bit jarring, and the bad guy laughs at you creepily when you lose a board. Low stress & pleasant overall.",,,
1.0 out of 5 stars,One Star,Just what I expected,,,
3.0 out of 5 stars,Hard to play,It is a little hard to play,,,
5.0 out of 5 stars,Five Stars,Love the game but I did not revive my order's that I placed in the game app,,,
1.0 out of 5 stars,One Star,"Didn’t like it, couldn’t understand what was to be done",,,
3.0 out of 5 stars,Interesting But...,While the game can be interesting at times the most frustrating thing is how slow the progress in leveling up. Although I enjoy most puzzles I have a love hate relationship with night mode. I can not stand the spotlight you have to move around. I don't like how complicated and the number of moves it takes with the ropes etc. Time and Blitz Time puzzles need to be improved. Overall it remains an enjoyable play experience.,,,
3.0 out of 5 stars,This could be a great except for a few  things,"1)  I cant get anywhere. After you get so far in the game the put up obstacles. You must collect items and turn in collections to clear them. Thats all good and fine except Ive been playing for around 6 months, not even close to compleating the required collections.2)  It wont let me connect with any social network. Constantly says system is running to slow.. Other than that i like the game.",,,
4.0 out of 5 stars,Nice,Recommended,,,
5.0 out of 5 stars,Great game,"This is a really good game. The only complaint I have is the energy refill, but in a way this is good, because I would be playing forever!!",,,
5.0 out of 5 stars,I Like It,So far this game has been very fun and entertaining!,,,
4.0 out of 5 stars,Four Stars,I like it,,,
5.0 out of 5 stars,Gold game,Enjoy wasting time with this game.,,,
5.0 out of 5 stars,Skill Teacher,This game is a major skill and logic teacher because of the fact that you have to arrange and rearrange symbols and other icons.,,,
3.0 out of 5 stars,Three Stars,Just started the game.,,,
5.0 out of 5 stars,Very Addicting!,"Be careful, this game is addicting!",,,
4.0 out of 5 stars,Fun,"I really fun, but frustrating the further along I get. I am on a fixed income, so buying is out.",,,
5.0 out of 5 stars,Match up,I  love match three  games and the extra twists make it fun,,,
3.0 out of 5 stars,Updating the game,Game would not update. So I tried to unistall it and reinstall  and it started from the beginning I don't like that but I love the game please fix the problem,,,
3.0 out of 5 stars,Three Stars,Cradle of the Empires is not challenging  for me there I give it 3 stars.,,,
5.0 out of 5 stars,Cradle of empires,"Its a great game!  Good way to pass the time, and one of the best match games out there.  Just wish you didnt have to buy crystals.",,,
1.0 out of 5 stars,terrible game,Couldn't delete the app fast enough,,,
5.0 out of 5 stars,Great,This game is pretty amazing. I've been addicted since the very first time I downloaded it and started playing. My kindle is the very first thing I reach for as soon as my hands are free.,,,
5.0 out of 5 stars,Very addictive.,Too much fun.,,,
4.0 out of 5 stars,Addicting game,Addicting game.,,,
5.0 out of 5 stars,Five Stars,good game,,,
5.0 out of 5 stars,Great,I love this game it is very addicting.Now I have my friends playing too,,,
4.0 out of 5 stars,Awesome tile/build game,"I've only been playing a short time, but have really enjoyed the game so far.  I love 'strategy build' games (ex: civilization, city, rollercoaster) this one has a unique twist to it that I have seen in a build game before with the match 3 tile aspect to it.",,,
1.0 out of 5 stars,One Star,Didn't like at all.,,,
4.0 out of 5 stars,Four Stars,addicting,,,
1.0 out of 5 stars,not for me,not enough game too much stuff,,,
2.0 out of 5 stars,Two Stars,I really like this game. But it keeps freezing and will not let me go any farther.,,,
4.0 out of 5 stars,O have been enjoying this game for years!,Includes a variety of challenging tasks and prizes. Continuous winning options and choices to play the types of games you enjoy. I have been playing for a few years and now my granddaughter plays it too.I recommend a trial,,,
5.0 out of 5 stars,Awesome Game😊,Very challenging game after the usual easy levels. Story line  is excellent. Graphics are great. Would recommend........,,,
4.0 out of 5 stars,Love this game,"I really enjoy the match three play. There is a lot of variety, but the higher levels are a bit tedious to complete.",,,
5.0 out of 5 stars,Enjoyable and progressive game!,I enjoy a challenge!!,,,
4.0 out of 5 stars,Good game.,I like the game so far. It does require more in app purchasing then I care for. Other than that the game is fun to play. I would recommend it to friends.,,,
5.0 out of 5 stars,Pretty fun,"It's a fun game but needs more like people,animals...Needs more",,,
4.0 out of 5 stars,game,Expensive to play. But fun.  Need to be able to get more with gold in the game,,,
5.0 out of 5 stars,Very addictive,Been hooked for a couple weeks now. Good job!,,,
5.0 out of 5 stars,great,Really really good game love playing it get hooked on it and very relaxing,,,
5.0 out of 5 stars,Great game,Is a very entertaining and fun game,,,
5.0 out of 5 stars,Enjoy,I enjoy the game and the story line..,,,
3.0 out of 5 stars,Really being generous,"At first glance, this game looks good.  Graphics are nice, music engaging, and the RPG elements are a decent addition.  Once past that, it's just another match three game that has pay-to-play after about level 8.  Borderline at best. 2/5 for quality, plus one star for actually paying attention to Egyptian mythology.",,,
1.0 out of 5 stars,One Star,Does not load correctly and causes my kindle to crash,,,
4.0 out of 5 stars,"Fun, Fun, Fun",You got to play.,,,
4.0 out of 5 stars,good game,Nice combination of game styles.,,,
5.0 out of 5 stars,Awesome,Fun and addicting,,,
1.0 out of 5 stars,Another chest game,They trail you along you make a purchase them they hold you at one thing after after you use up the stupid gem they use for moneyTell me after doing the puzzle 9 time and always ending up with just one piece to win  sort of becomes like it's planned that way of course if o oh I'd by more green gelato oH my way out  come on you molesters if your going to cheat your customers doing more sneaky then haveingbthennhangv9 times in a row needing only 1 file left on the same game9 times this gAme is not even half fun,,,
5.0 out of 5 stars,Game,enjoying,,,
4.0 out of 5 stars,This is a fun game!,"I have debated trying this game for quite some time, but I finally went for it.  I have been enjoying it quite a bit and look forward to continuing to play it",,,
5.0 out of 5 stars,Great game,"The game is very interesting and very challenging, I think it's going to be a great one.",,,
5.0 out of 5 stars,Five Stars,fun and frustrating!!!,,,
4.0 out of 5 stars,Fun,Playing for free.  It is fun but you run out of energy quickly.,,,
5.0 out of 5 stars,Fab game,There's several objectives going on at the same time. The beautiful good woman leading her people to rebuild their city out of ruins. Then you have bad magician working against them. A few different types of matching 3's. It's very tempting to buy energy so you can continue to play. Graphics are great. It's a clean game for all ages but it's one the top best that adults can get into.,,,
5.0 out of 5 stars,Wonderful,Super game providing hours of fun.,,,
4.0 out of 5 stars,Needs explaining!,While I like the graphics their s no explanation that would be be helpful,,,
5.0 out of 5 stars,Great game,So many levels.  Will play for a long time.,,,
1.0 out of 5 stars,A NO SHOW,I have no idea if it is good or not. It will not show up on my device so I uninstalled it.,,,
3.0 out of 5 stars,Don't download unless you are willing to spend serious money,"The game is great when getting though the matching process but like most games of this nature players are nickel and dime to death to keep progressing.  I was very sad,  I truly enjoyed the game until I recognized exactly how much it was costing me.  I wish Amazon would bring back the underground",,,
4.0 out of 5 stars,Four Stars,It passes the time away,,,
4.0 out of 5 stars,Awesome,Game tends to freeze but I like it.,,,
5.0 out of 5 stars,Fun,Love the game. Fun and interesting.,,,
5.0 out of 5 stars,Five Stars,Cool game,,,
5.0 out of 5 stars,Five Stars,I love the game,,,
3.0 out of 5 stars,Fun but expensive,"This is a fun game,  it it takes a really long time for energy to recharge, and purchase of more does not go very far.  The in app purchases really add up!",,,
1.0 out of 5 stars,One Star,Not enough info to play for novices.,,,
4.0 out of 5 stars,amusing game,Good game that keeps you occupied. Not happy with the energy loss/ time ratio,,,
4.0 out of 5 stars,Nice game,Good time killed,,,
2.0 out of 5 stars,thRip off,This game gives very little back to dedicated player's.  I have played for hours and still nothing was awarded.,,,
1.0 out of 5 stars,Boring!,It was boring and not fun.,,,
3.0 out of 5 stars,Not sure,Not sure what to do if I'm doing the right thing,,,
3.0 out of 5 stars,time play,time play game not my favorite,,,
1.0 out of 5 stars,One Star,wouldn't download,,,
5.0 out of 5 stars,Five Stars,FUN,,,
5.0 out of 5 stars,Five Stars,Love this game,,,
3.0 out of 5 stars,Three Stars,nothing exceptional,,,
4.0 out of 5 stars,Great game,"Keep you going, challenging and entertainment.,",,,
1.0 out of 5 stars,Very Poor!,Horrible. Lots of glitches never fixed! Finally I uninstalled!,,,
5.0 out of 5 stars,Good game,This game is a good match three game that allows you to use the materials you earn to build a civilization.  Good added fun.,,,
5.0 out of 5 stars,Five Stars,Fun and about time,,,
4.0 out of 5 stars,fun game,It is a wonderful game to play if you have lots of time to spare.,,,
5.0 out of 5 stars,Match three plus some excitement,"I love match three games and this story plot extra has definitely kept me busy .. Great story, great graphics . Only thing missing is easier received !ots of Gems",,,
4.0 out of 5 stars,Four Stars,great,,,
5.0 out of 5 stars,GOOD GAME,I LIKE THIS GAME,,,
1.0 out of 5 stars,Boring,Uninstalled same day.,,,
4.0 out of 5 stars,Four Stars,Fun and enjoyable game. You can spend some good money playing if you are not careful.,,,
5.0 out of 5 stars,Fun game,Super fun game. Recommended.,,,
3.0 out of 5 stars,"Fun, but",This app is painful to play on my new HD fire. It is very unresposive,,,
4.0 out of 5 stars,Four Stars,Very fun game.,,,
1.0 out of 5 stars,... too convoluted for me to follow and I would like to learn how to cancel it,"This game was too convoluted for me to follow and I would like to learn how to cancel it. I much prefer games such as Sudoku, solitaire, and word puzzles.",,,
1.0 out of 5 stars,One Star,Too much dialogue.,,,
2.0 out of 5 stars,It's just a mess,"The structure is confusing. The ""powers"" offered by ownership of prizes are not well spelled out. The cartoon conversations are distracting and not very helpful. The characters are too numerous and indiscriminate to care about. It's just a mess.",,,
3.0 out of 5 stars,Interesting puzzles but ....,"I enjoy the puzzles however moving up, opening new territory, and gaining bonuses are so difficult because it isn't clear how long it takes to get tokens  I've been playing for months and still haven't achieved many steps up.  Clearly built to encourage in April purchases but progress is so tedious it discourages them",,,
2.0 out of 5 stars,Two Stars,made for kids,,,
4.0 out of 5 stars,Nice match three game,This is a fun game. You could play it without the in game purchases.  A few purchases will make the game a little easier and let you play a little longer.  Challenges get harder as you master the game so you don't get bored. I wish there were fewer pop-up in game purchases notifications but I am just impatient.,,,
5.0 out of 5 stars,Great game.,I'm really surprised at how much I like this game! Very hard to put it down.,,,
4.0 out of 5 stars,"If you don't want to pay $, it may take a long time to meet certain goals.",The game is fun and has enough different types of goals to keep me interested.,,,
1.0 out of 5 stars,Unhappy Camper,App will not open after latest update. I am NOT a happy camper!,,,
2.0 out of 5 stars,"""To complete level faster""","On the first level I wondered why so many hints popped up saying how to complete a level faster, then after playing later levels over and over and OVER, each time making MINIMAL progress it all made sense.- Is the developer trying to make the levels annoying long (repetitive) in hopes that people will spend money on energy to advance?-  Has the developer made the game really short to keeps progress slow?Also, I 'd appreciate it if the item that you may receive from the level only showed up when it was actually available. Don't give me a pic of what I think I'm trying for that won't actually come until the location is updated.",,,
5.0 out of 5 stars,Five Stars,Good,,,
3.0 out of 5 stars,fun ... mostly,"Collections are fun. Step, timed and skull modes are interesting.Night mode is not fun. More of a nuisance.Having to repeat levels for a quest collection item after max score on level is not fun.",,,
4.0 out of 5 stars,Fun time waster,I am hoping that this continues to be a fun game without having to buy materials and life with real money. Honestly at the moment I am having fun ..on level 9 so I have a way to go 😁,,,
5.0 out of 5 stars,Five Stars,Think is in awesome game,,,
5.0 out of 5 stars,Fun,Great game! Puzzles different each time.,,,
5.0 out of 5 stars,Challenging... in a good way,More complicated that previous Cradles but I'm getting the hang of it.  Clearer explanations would help,,,
1.0 out of 5 stars,One Star,no fun,,,
5.0 out of 5 stars,Fun game,I absolutely love this game. A fun mindless and easy game to keep you busy.,,,
5.0 out of 5 stars,fun and addicting,"Very fun game, love the combo of match three with building.",,,
1.0 out of 5 stars,Not the game for me,Was disappointed in this game. Uninstalled already.,,,
1.0 out of 5 stars,Not worth time,Completely locked up at Level 4. Deleted app.,,,
3.0 out of 5 stars,Three Stars,Good,,,
1.0 out of 5 stars,Game,"To much to read, didn't like",,,
5.0 out of 5 stars,Love,I love playing this game. Started playing my husbands tablet so now I downloaded it.,,,
1.0 out of 5 stars,Ok,Ok,,,
5.0 out of 5 stars,Fun,This game is a lot of fun.  Hate the skull levels....lol......,,,
5.0 out of 5 stars,Great game,Wish I could play it longer. Love it,,,
5.0 out of 5 stars,Love this game,I so enjoy playing Cradle of Empires.  I can play for hours on end.,,,
5.0 out of 5 stars,Great,"I like this game, so I play it more than I should.",,,
3.0 out of 5 stars,Cradle,"Enjoyable game, but I have to buy items.",,,
5.0 out of 5 stars,game,good game but i just couldnt get the hang of it.,,,
1.0 out of 5 stars,Too busy of game,I didnt care for the game. Not enough explanation of what to do,,,
1.0 out of 5 stars,Not good...,This game would not play!,,,
5.0 out of 5 stars,Great game,Love that you can play even offline.,,,
5.0 out of 5 stars,Good game,I have just started playing this game. I am still learning all the aspects of play but I am enjoying it so far.,,,
4.0 out of 5 stars,Engaging game,Have enjoyed game. One glitch which reset by exiting and auto message sent to developer. Good story line.,,,
1.0 out of 5 stars,One Star,DID NOT ORDER,,,
5.0 out of 5 stars,Fun!,So like this game!,,,
5.0 out of 5 stars,"A, 5 it's great",30 out to 60 s helpful,,,
5.0 out of 5 stars,Fantastic!,I really like this game! Superb graphics!!!,,,
3.0 out of 5 stars,Not for those who have low income.,If u don't buy gold...the play is very short until all items are renewed.,,,
4.0 out of 5 stars,Good game,Enjoying and challenging.,,,
1.0 out of 5 stars,One Star,I felt more for the younger crowdThamk you,,,
5.0 out of 5 stars,love this game,One of my all time favorites.,,,
5.0 out of 5 stars,Good game,"Good game to pass time, easy to play",,,
5.0 out of 5 stars,Great game!,I'm glad I got this game. So far lots of fun and not over challenging.,,,
4.0 out of 5 stars,Addictive,It is a fun game once you get through the tutorials.,,,
5.0 out of 5 stars,Five Stars,Good game it's a lot of fun,,,
3.0 out of 5 stars,Challenging to learn but I like it.,I did like it but still trying to figure out how it works.,,,
1.0 out of 5 stars,Time consuming,"To slow to recharge.  Very  time consuming, seem like fun in the beginning started to become boring. Going to try something different, I'm very disappointed.",,,
4.0 out of 5 stars,Cradle of Empire,Ok game so far I like it,,,
4.0 out of 5 stars,Fun game,This game is enjoyable.  The holiday calendar was a nice bonus.  It does take a long time to complete quests.,,,
1.0 out of 5 stars,frustrating,This was fun until it crashed and no longer loads.  Fix it or refund coins for bonuses already earned.,,,
1.0 out of 5 stars,One Star,Didn't care for the game.,,,
4.0 out of 5 stars,Addictive,Fun and challenging,,,
3.0 out of 5 stars,Fun.,Fun game but you loose coins Every time you play whether you have won or not. To short of time playing,,,
4.0 out of 5 stars,Good game,Great game I can still play without having to buy anything. Not just the same match three game.,,,
1.0 out of 5 stars,ok,ok,,,
5.0 out of 5 stars,Fun,A very intresting game. Fun and challenging.,,,
5.0 out of 5 stars,If is fun and very challenging,It is fun and very challenging,,,
5.0 out of 5 stars,Newest Cradle,Great but expensive fun for match 3 players.,,,
2.0 out of 5 stars,Two Stars,dont like,,,
4.0 out of 5 stars,relaxation,It is a fun game and challenging. You never know what is next.,,,
5.0 out of 5 stars,The Best!,"The best tablet game I've found. Lots of levels,lots to do. Love it!",,,
3.0 out of 5 stars,Spendy!,"I agree with ma y of the players that it is bit spendy but the game is very enjoyable and the graphics are beautiful, so its worth it. Perhaps there is a way to show what you have bought so far, like a ledger or a bank a count, so you won't to broke playing this game.",,,
5.0 out of 5 stars,Five Stars,I am addicted!,,,
4.0 out of 5 stars,Angie,Would be more fun if you could earn energy,,,
4.0 out of 5 stars,Challenging,"I love playing the game and find it fairly challenging. Especially, to play without using diamonds. It gets so expensive using diamonds or crystals I think they're called. And some rounds you almost have to use them. Like the ones where they give you time limits. On some of them, they never give you enough time. I played one at least 25 times and gave up and used the crystals to get more time. Then there is the fact you run out of energy. You either have to buy more or wait until it is restored. That is frustrating, especially if you're using a magic spell that has a time limit. I do wish that they had instructions somewhere to look at and read. There are parts that I do not understand. I will keep playing until I am bored. If they would put the instructions in it would help because I would know what my goal is. I have quit other games over no instructions. They make it impossible to write to them at these games usually. I dare you to get Kim Kardashian Hollywood to give you a real answer to a question or give back money lost. At least in this game, I had a mix up on a purchase of crystals and called Amazon, and got a refund right away. So it's my recommendation to try this game.",,,
1.0 out of 5 stars,Its more about building a town than playing a game,Hated it.  Its not a game.,,,
5.0 out of 5 stars,Love it!,So much fun!,,,
5.0 out of 5 stars,Addictive,"Have to play this game everyday, it's very addictive, just wish you could complete collections a little easier",,,
5.0 out of 5 stars,Five Stars,Intriguing,,,
4.0 out of 5 stars,Good game,"Relaxing game, good graphics. Needs to tell you how many points your earning when doing match three and you have to spend to much  on things.",,,
5.0 out of 5 stars,Greast Game!,"Great graphics, eassy to play! Favorite game to date!🙌🙌🙌🙌🙌🎆🎆🎆🎄",,,
3.0 out of 5 stars,"Good, however...",It is fun but I'm swamped with tasks to do and it's annoying when I'm trying to complete one and three more appear.,,,
5.0 out of 5 stars,Very fun game,Very fun and challenging game.,,,
5.0 out of 5 stars,Letty,"This is such an awesome game.  I love playing the various villages, some more than others. I could pay this all day!",,,
3.0 out of 5 stars,Three Stars,Met expectations,,,
3.0 out of 5 stars,Lives,It uses too many lives. I like the game but if you beat the level you should get to keep your lives not lose then. In other games you only lose the life if you lose the round.,,,
5.0 out of 5 stars,Awesome,Can't put it down!,,,
1.0 out of 5 stars,Not worth the time...,Too much bloatware and far too many ads.,,,
4.0 out of 5 stars,Cool collectior,"Great game, need to give more coins! Love it!",,,
4.0 out of 5 stars,Very good game,Very good game.,,,
1.0 out of 5 stars,Early greedy,"Greedy gameIt starts good, game could be fun, if no money needed to play. Very expensive for a so called free game, disappointed!",,,
4.0 out of 5 stars,Nice time killer,Fun game. Nice to pass time.,,,
5.0 out of 5 stars,Time to play,Helps me rest in between chores. Love this game.,,,
2.0 out of 5 stars,Two Stars,Boring!,,,
4.0 out of 5 stars,Good fast game,Very good game. Runs out of energy after a while.,,,
4.0 out of 5 stars,love it except.....,Would give 5 stars except I've played 19 levels looking for a single item. The game doesn't like to give the items you need to turn in collections!!,,,
5.0 out of 5 stars,Such an easy fun game!!,This game reminds me of an interestingly fun game I played as a child.,,,
2.0 out of 5 stars,Two Stars,don't play on tv,,,
5.0 out of 5 stars,great game,I enjoy the game play. Keeps you play as much as you can. I didn't expect it to be so much fun but it is.,,,
5.0 out of 5 stars,Awesome,Great game to sit and relax with!!!!The,,,
5.0 out of 5 stars,Five Stars,This game  is amazing and the most challenging i have played in years.  It is also the most frustrating. I love 💘💘💘 it,,,
5.0 out of 5 stars,Great Game,Very addictive,,,
5.0 out of 5 stars,Great game,My favorite game. I have to think about what I'm doing!,,,
5.0 out of 5 stars,Five Stars,👍,,,
4.0 out of 5 stars,Not what I expected.,I didn't really like it as much as I would have like but someone else might feel differently.,,,
5.0 out of 5 stars,Interesting,Interesting...,,,
3.0 out of 5 stars,Game,Just not for me,,,
4.0 out of 5 stars,Can't put it down,It is pretty fun and easily addictive to play. I enjoy it and would recommend to others.,,,
5.0 out of 5 stars,My new favorite match 3 game,This has quickly become my favorite game. I really enjoy the characters and the development of the story.,,,
2.0 out of 5 stars,Kind of fun,"A fun game and interesting byline. However, as with most games, it is designed to suck as much money from your wallet that it can. I would buy this game outright, and use any gold collected (which so far is pretty worthless) to advance. That's why two stars.",,,
3.0 out of 5 stars,Three Stars,kindda boring,,,
3.0 out of 5 stars,Three Stars,OK,,,
5.0 out of 5 stars,History,I love this game.  It's fun and interesting.,,,
3.0 out of 5 stars,okay,"loaded, played, deleted",,,
1.0 out of 5 stars,One Star,Took too much battery,,,
4.0 out of 5 stars,"Fun, but wants you to purchase a ton.","Fun game, don't like all the purchasing it tries to get you to do.  But if you ignore that it is a lot of fun.",,,
3.0 out of 5 stars,Three Stars,This game is ok and relaxing,,,
4.0 out of 5 stars,Review,It's fun to play. Challenging just enough to make enjoyable.,,,
4.0 out of 5 stars,Cradle,It is fun but I hate the waiting to recharge.,,,
4.0 out of 5 stars,Review,This game is cool,,,
4.0 out of 5 stars,awesome game,I like the challenges that u have to clear the board to earn your prizes.I also like the color scheme.,,,
3.0 out of 5 stars,Three Stars,Cool game,,,
5.0 out of 5 stars,Five Stars,nice,,,
4.0 out of 5 stars,Four Stars,fun,,,
3.0 out of 5 stars,has potential to be awesome game!,This game seems to have a solid story line and great graphics. They just need to fix the constant crashes and then this game is a solid 4.5 stars!,,,
4.0 out of 5 stars,Four Stars,fun,,,
5.0 out of 5 stars,Love it!,Awesome game!,,,
3.0 out of 5 stars,Three Stars,A little hard to follow,,,
5.0 out of 5 stars,Fun game,Good game and easy to play,,,
4.0 out of 5 stars,Enjoy the Game,I enjoy the game,,,
5.0 out of 5 stars,Nothing,I like that it is similar to candy crush. What I don't like is it constantly repeat examples of how to play the game,,,
5.0 out of 5 stars,Fun game,This game has all sorts of things going on at once so it never gets b boring!!!,,,
4.0 out of 5 stars,Great game!,Nice music. Relaxing.,,,
1.0 out of 5 stars,One Star,freemium,,,
2.0 out of 5 stars,Slightly frustrating,It takes too long to complete task on levels and you have to play the SAME game over again to get the target,,,
5.0 out of 5 stars,Fun,Enjoy playing this game daily!,,,
4.0 out of 5 stars,Four Stars,Pretty good!!!!!!!!!!,,,
5.0 out of 5 stars,Fun,Very good game design.,,,
2.0 out of 5 stars,Could be better,It wasn’t as good as I expected.  Too much jumping around.  Can’t use the green diamonds you earn.  What are they for anyway?,,,
4.0 out of 5 stars,Hypnotic,"Hi there! Been enjoying this game for over a year. It's soothing, fun, and a great way to relax before bedtime. Love the synchronisation with the holidays as well! Well done👍",,,
2.0 out of 5 stars,so-so app,ummmm didn't use this app much it's ok,,,
4.0 out of 5 stars,Four Stars,It was ok,,,
4.0 out of 5 stars,Interesting,Will keep you bussy,,,
5.0 out of 5 stars,Love it!!,I like that the puzzles are challenging and require thought to finish them. Great game to play that keeps you coming back for more.,,,
5.0 out of 5 stars,I  Love the game  and  it  is  addictive!!,Its a game app!! i  think getting your  piggy bank or  diamonds!! Dont  you  know alot Prime,,,
2.0 out of 5 stars,Pay to play,Starts out nice but money grab in the end,,,
5.0 out of 5 stars,Nice...,... game. Ummmmmmmmm,,,
4.0 out of 5 stars,great,so far so good! wish energy filled up quicker. lol,,,
3.0 out of 5 stars,Too expensive & too slow,This game had potential but it takes too long to gather the required ingredients to complete the quests. You have to play a level multiple times before you get the item shown. I believe they want you to get so frustrated you will buy what you need.,,,
5.0 out of 5 stars,Fun game,Great game to play every day,,,
1.0 out of 5 stars,Krep looking,Very confusing for old people,,,
1.0 out of 5 stars,One Star,mistakenly downloaded,,,
4.0 out of 5 stars,Playing for free requires patience,"It took a day or two to find the rhythm of this game, but it's been fun. Some  levels I feel are unfairly challenging to get past, but perhaps that's how they get people to throw real money at them. The temptation is real! But I have just learned to walk away and wait for everything to regenerate. It looks like there are plenty of future levels if one stays interested. Also, the promotional ad for this game is nothing like the actual game...",,,
3.0 out of 5 stars,ehh,Game is ok so far,,,
4.0 out of 5 stars,Fast-paced fun,"i love the multiple areas and quests.  I use up the energy really fast, though. 😁",,,
5.0 out of 5 stars,Best match game out there!,Many exciting play formats.  Always a challenge and great fun!,,,
4.0 out of 5 stars,Fun,Pretty addicting and before I know it it's been hours,,,
5.0 out of 5 stars,Fun game with a good story,"I really like this little game.  The match-3 game play here is decent, the story is engaging, and the graphics are very nice.  I like that the different characters sometimes have there own stories going on.  The game does not glitch or have any technical issues.  It's easy to connect to friends if you want but it is not required.  There are multiple opportunities to gain bonuses without purchasing gems.  However, like all the games that offer in-game purchases, there is a certain amount of encouragement to make purchases.  They are not overly obnoxious however and are easily ignored.  There are also in-game opportunities to earn gems.  Just reading the update message will give you 3 gems for example.",,,
5.0 out of 5 stars,Great Pastime Game,This game is a great passer of time. It keeps things light and easy and helps your mind float free for a little while.,,,
5.0 out of 5 stars,Awesome game,This is a fun game it keeps me interested in playing plenty of puzzles to figure out and I love building a village .,,,
1.0 out of 5 stars,Boring.  Deleted.,Boring.  Deleted.,,,
2.0 out of 5 stars,Too soon to tell,It's too soon to tell if this game is worth it. There I a PC version about Egypt that is much better and you have a fighting chance to win the puzzles and you don't have to jump thru 5+ hoops for one building or harvest.,,,
1.0 out of 5 stars,One Star,couldn't get it to play,,,
3.0 out of 5 stars,cradle of empires,"Game is ok, energy is expensive to buy and it doesn't regenerate fast enough.  On hard levels after I use all my energy then I have to play some other game and wait for it to regenerate.",,,
1.0 out of 5 stars,Not for tablet,Doesn't work on Android tablet,,,
1.0 out of 5 stars,Zero stars,I was enjoying this game. Started getting expensive. Then they want access to my personal info and my Facebook. Now I can't play again till I agree. I don't connect my games on Facebook. So now you can keep your game and refund me my unused coins. I had to give you at least one star to post this review.  Zero stars for you!!,,,
1.0 out of 5 stars,Didn't care for this game.,I don't care for games that has lots of writing between games. Wasn't what I though it would be like.,,,
4.0 out of 5 stars,Four Stars,Fun while it lasted,,,
1.0 out of 5 stars,Hate games that pull you in.,You play for free then have to pay. No good. 👎,,,
5.0 out of 5 stars,Addictive,This has become my favorite game to play! Its fun to see the structures change and grow as you get further into the game.,,,
4.0 out of 5 stars,Four Stars,gets expensive buying the green diamonds but is an addictive game,,,
4.0 out of 5 stars,Like Puzzle Quest,Puzzle Quest is a fun little game I used to play to pass the time. This game reminds me of that. I wish it had more of a story like Puzzle Quest did. But still fun to play.,,,
3.0 out of 5 stars,Wants money,Not great,,,
4.0 out of 5 stars,Cradle of Empires,It's different and interesting,,,
5.0 out of 5 stars,Great game,"I really enjoy this game, it is fun and gives back good things!  Easy to play and good info!",,,
2.0 out of 5 stars,Sky,Obtaining collection pieces is absurdly difficult... Been trying to get this one piece for weeks... I understand challenge...but this is crazy,,,
1.0 out of 5 stars,One Star,It never loaded onto my Kindle!,,,
3.0 out of 5 stars,"fun, but","This is fun, but beware it hangs up and will not even let you power your kindle off. You just has to wait for it to kick in.  You will be playing and it kicks you out.",,,
1.0 out of 5 stars,Okay for ages ten and under,not what I thought it would be,,,
3.0 out of 5 stars,so so,so so,,,
1.0 out of 5 stars,Never order this..,I have never purchase this Item in my entire life...,,,
1.0 out of 5 stars,One Star,Too confusing.,,,
3.0 out of 5 stars,Pretty but still another match 3 game,Sameness with a few different looks.,,,
5.0 out of 5 stars,Cradle of Enterprise,Good game but you run out of lives to fast,,,
3.0 out of 5 stars,Three Stars,I don't play it anymore.  It is suppose to be free and you can't advance without paying,,,
5.0 out of 5 stars,Game fun,Keeps you busy and it’s fun to play.,,,
5.0 out of 5 stars,great variety,I like the variation in the game. You get to play 3 or 4 different types of games all in one place.,,,
4.0 out of 5 stars,Four Stars,Awesome game lots of fun,,,
